iteration,latency_ns,latency_ms,precision,threads,scope
263,15606614,15.6066,double_intermediate,1,plan+SOCS+FI+output_formation
264,15491561,15.4916,double_intermediate,1,plan+SOCS+FI+output_formation
265,15511238,15.5112,double_intermediate,1,plan+SOCS+FI+output_formation
266,15571447,15.5714,double_intermediate,1,plan+SOCS+FI+output_formation
267,18598972,18.599,double_intermediate,1,plan+SOCS+FI+output_formation
268,18878051,18.8781,double_intermediate,1,plan+SOCS+FI+output_formation
269,20962355,20.9624,double_intermediate,1,plan+SOCS+FI+output_formation
270,16038588,16.0386,double_intermediate,1,plan+SOCS+FI+output_formation
271,15560860,15.5609,double_intermediate,1,plan+SOCS+FI+output_formation
272,15608206,15.6082,double_intermediate,1,plan+SOCS+FI+output_formation
273,15570704,15.5707,double_intermediate,1,plan+SOCS+FI+output_formation
274,15590099,15.5901,double_intermediate,1,plan+SOCS+FI+output_formation
275,15569152,15.5692,double_intermediate,1,plan+SOCS+FI+output_formation
276,15459583,15.4596,double_intermediate,1,plan+SOCS+FI+output_formation
277,15474116,15.4741,double_intermediate,1,plan+SOCS+FI+output_formation
278,15555325,15.5553,double_intermediate,1,plan+SOCS+FI+output_formation
279,15522010,15.522,double_intermediate,1,plan+SOCS+FI+output_formation
280,15491101,15.4911,double_intermediate,1,plan+SOCS+FI+output_formation
281,15600695,15.6007,double_intermediate,1,plan+SOCS+FI+output_formation
282,15512007,15.512,double_intermediate,1,plan+SOCS+FI+output_formation
283,15612478,15.6125,double_intermediate,1,plan+SOCS+FI+output_formation
284,15516728,15.5167,double_intermediate,1,plan+SOCS+FI+output_formation
285,15580225,15.5802,double_intermediate,1,plan+SOCS+FI+output_formation
286,15497483,15.4975,double_intermediate,1,plan+SOCS+FI+output_formation
287,15526649,15.5266,double_intermediate,1,plan+SOCS+FI+output_formation
288,15508657,15.5087,double_intermediate,1,plan+SOCS+FI+output_formation
289,15449387,15.4494,double_intermediate,1,plan+SOCS+FI+output_formation
290,15528626,15.5286,double_intermediate,1,plan+SOCS+FI+output_formation
291,15531854,15.5319,double_intermediate,1,plan+SOCS+FI+output_formation
292,15524060,15.5241,double_intermediate,1,plan+SOCS+FI+output_formation
293,15442353,15.4424,double_intermediate,1,plan+SOCS+FI+output_formation
294,15612345,15.6123,double_intermediate,1,plan+SOCS+FI+output_formation
295,15504341,15.5043,double_intermediate,1,plan+SOCS+FI+output_formation
296,15549308,15.5493,double_intermediate,1,plan+SOCS+FI+output_formation
297,15540549,15.5405,double_intermediate,1,plan+SOCS+FI+output_formation
298,15638140,15.6381,double_intermediate,1,plan+SOCS+FI+output_formation
299,15597308,15.5973,double_intermediate,1,plan+SOCS+FI+output_formation
300,15493104,15.4931,double_intermediate,1,plan+SOCS+FI+output_formation
301,17870751,17.8708,double_intermediate,1,plan+SOCS+FI+output_formation
302,16001752,16.0018,double_intermediate,1,plan+SOCS+FI+output_formation
303,15808197,15.8082,double_intermediate,1,plan+SOCS+FI+output_formation
304,15583414,15.5834,double_intermediate,1,plan+SOCS+FI+output_formation
305,15516585,15.5166,double_intermediate,1,plan+SOCS+FI+output_formation
306,15528731,15.5287,double_intermediate,1,plan+SOCS+FI+output_formation
307,15570229,15.5702,double_intermediate,1,plan+SOCS+FI+output_formation
308,15548809,15.5488,double_intermediate,1,plan+SOCS+FI+output_formation
309,15497011,15.497,double_intermediate,1,plan+SOCS+FI+output_formation
310,15561817,15.5618,double_intermediate,1,plan+SOCS+FI+output_formation
311,15667327,15.6673,double_intermediate,1,plan+SOCS+FI+output_formation
312,16105802,16.1058,double_intermediate,1,plan+SOCS+FI+output_formation
313,15564809,15.5648,double_intermediate,1,plan+SOCS+FI+output_formation
314,15592488,15.5925,double_intermediate,1,plan+SOCS+FI+output_formation
315,15496540,15.4965,double_intermediate,1,plan+SOCS+FI+output_formation
316,15623209,15.6232,double_intermediate,1,plan+SOCS+FI+output_formation
317,15622351,15.6224,double_intermediate,1,plan+SOCS+FI+output_formation
318,15496561,15.4966,double_intermediate,1,plan+SOCS+FI+output_formation
319,15548390,15.5484,double_intermediate,1,plan+SOCS+FI+output_formation
320,15571696,15.5717,double_intermediate,1,plan+SOCS+FI+output_formation
321,15512072,15.5121,double_intermediate,1,plan+SOCS+FI+output_formation
322,15582730,15.5827,double_intermediate,1,plan+SOCS+FI+output_formation
323,15538787,15.5388,double_intermediate,1,plan+SOCS+FI+output_formation
324,15686380,15.6864,double_intermediate,1,plan+SOCS+FI+output_formation
325,15554501,15.5545,double_intermediate,1,plan+SOCS+FI+output_formation
326,15833991,15.834,double_intermediate,1,plan+SOCS+FI+output_formation
327,15507028,15.507,double_intermediate,1,plan+SOCS+FI+output_formation
328,15560453,15.5605,double_intermediate,1,plan+SOCS+FI+output_formation
329,15493025,15.493,double_intermediate,1,plan+SOCS+FI+output_formation
330,15532205,15.5322,double_intermediate,1,plan+SOCS+FI+output_formation
331,15775942,15.7759,double_intermediate,1,plan+SOCS+FI+output_formation
